
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),Altitude (m),
8.414662,-0.0214,0.0152,1.0060,0.0714,0.3061,-0.0434,0.0108,0.0101,0.0028,-12.3938,-7.7813,47.3250,129.0214,0.6653,-1.3323,85.0033,33.41445142,-111.92187883,0.00000000,333.50451660,
8.514771,-0.0263,-0.0146,0.9977,-0.0146,-0.0910,-0.0738,-0.0063,0.0037,0.0028,-12.6000,-7.1438,45.1500,129.0605,0.6543,-1.3355,85.0033,33.41445142,-111.92187883,0.00000000,333.50451660,
8.614113,-0.0244,0.0294,1.0138,-0.0458,0.3722,0.1071,0.0001,0.0027,0.0039,-11.1188,-10.2563,50.3813,129.5360,0.5210,-1.3757,81.5574,33.41445142,-111.92187883,0.00000000,333.50451660,
8.715716,-0.0239,0.0308,1.0031,-0.0014,0.3534,0.0389,0.0076,-0.0016,0.0071,-12.6000,-8.1188,53.8688,130.7093,0.1177,-1.3956,81.5574,33.41445142,-111.92187883,0.00000000,333.50451660,
8.814895,-0.0249,0.0343,1.0031,-0.0272,0.3638,-0.0507,0.0012,0.0027,0.0103,-12.6563,-8.7375,52.8375,131.6441,-0.2122,-1.4132,81.5574,33.41445142,-111.92187883,0.00000000,333.50451660,
8.918068,-0.0302,0.0587,1.0045,-0.0647,0.4781,0.0680,0.0055,0.0037,0.0124,-12.8250,-9.4875,52.7250,132.8930,-0.6372,-1.4698,79.3994,33.41445142,-111.92187883,0.00000000,333.50451660,
9.018582,-0.0468,0.0953,1.0040,-0.1703,0.6495,0.0696,0.0055,0.0069,0.0230,-13.5938,-7.8750,50.1375,134.4525,-1.2052,-1.5874,79.3994,33.41445142,-111.92187883,0.00000000,333.50451660,
9.118426,-0.0478,0.1188,1.0055,-0.2206,0.7645,0.0814,0.0119,0.0048,0.0348,-15.0563,-6.9000,46.3313,136.3968,-1.9752,-1.7782,79.3994,33.41445142,-111.92187883,0.00000000,333.50451660,
9.218229,-0.0478,0.0841,1.0065,-0.1514,0.4728,-0.0338,0.0065,-0.0069,0.0507,-15.3188,-7.8938,48.0563,138.1499,-2.7251,-1.9471,80.1219,33.41445142,-111.92187883,0.00000000,333.50451660,
9.319352,-0.0503,0.0973,0.9938,-0.1552,0.4751,-0.1254,-0.0031,-0.0048,0.0603,-15.7313,-6.6375,47.7188,139.1719,-3.1477,-2.0946,80.1219,33.41445142,-111.92187883,0.00000000,333.50451660,
9.419558,-0.0610,0.1232,0.9996,-0.1742,0.4665,-0.0357,0.0023,-0.0037,0.0742,-16.9500,-6.3000,47.9625,140.1185,-3.6063,-2.2217,80.1219,33.41445142,-111.92187883,0.00000000,333.50451660,
9.522381,-0.0786,0.1159,0.9933,-0.3388,0.4610,-0.0682,0.0012,0.0037,0.0955,-17.4375,-5.6813,45.6750,141.1745,-4.1483,-2.3968,83.2234,33.41445142,-111.92187883,0.00000000,333.50451660,
9.623235,-0.0679,0.1129,1.0011,-0.1890,0.3491,0.0613,-0.0009,0.0037,0.1146,-17.9062,-4.9875,44.2313,142.0401,-4.5781,-2.6553,83.2234,33.41445142,-111.92187883,0.00000000,333.50451660,
9.724290,-0.0840,0.1080,1.0075,-0.2042,0.2180,0.0849,-0.0063,0.0091,0.1306,-17.5875,-5.0063,41.0063,142.4009,-4.8710,-2.8372,83.2234,33.41445142,-111.92187883,0.00000000,333.50451660,
9.824487,-0.0815,0.1144,0.9957,-0.3813,0.1455,-0.0003,-0.0095,-0.0027,0.1551,-17.6438,-4.6500,42.8625,142.7665,-5.0692,-3.1063,82.8027,33.41445142,-111.92187883,0.00000000,333.50451660,
9.925257,-0.0698,0.0905,1.0143,-0.2127,0.0875,0.0550,-0.0063,-0.0123,0.1743,-17.9438,-2.9062,42.2063,142.7795,-5.2523,-3.2451,82.8027,33.41445142,-111.92187883,0.00000000,333.50451660,
10.025611,-0.0571,0.1012,1.0128,0.0024,0.0357,0.0872,0.0033,-0.0144,0.1764,-18.4688,-3.4125,40.7812,142.1840,-5.3553,-3.1974,82.8027,33.41445142,-111.92187883,0.00000000,333.50451660,
